date,filename,filename_id,fish_detected,confidence,actual_class,predicted_class,reason
2024-12-10,2024-12-10_10_41_23_(17798)_sardine_input.jpeg,(17798)_(1),2,[     0.9196     0.93373],Bad,Bad,Softness-0.01899999938905239
2024-12-10,2024-12-10_10_41_23_(17798)_sardine_input.jpeg,(17798)_(2),2,[     0.9196     0.93373],Bad,Bad,Softness-0.4959999918937683
2024-12-10,2024-12-10_10_44_14_(17813)_sardine_input.jpeg,(17813)_(1),2,[    0.92826     0.91188],Bad,Bad,Softness-0.10199999809265137
2024-12-10,2024-12-10_10_44_14_(17813)_sardine_input.jpeg,(17813)_(2),2,[    0.92826     0.91188],Bad,Bad,Softness-0.07900000363588333
2024-12-10,2024-12-10_10_41_35_(17799)_sardine_input.jpeg,(17799)_(1),2,[    0.92356     0.93465],Bad,Good,0.852
2024-12-10,2024-12-10_10_41_35_(17799)_sardine_input.jpeg,(17799)_(2),2,[    0.92356     0.93465],Bad,Good,0.702
2024-12-10,2024-12-10_10_41_11_(17797)_sardine_input.jpeg,(17797)_(1),2,[    0.90984     0.92416],Bad,Bad,Softness-0.3370000123977661
2024-12-10,2024-12-10_10_41_11_(17797)_sardine_input.jpeg,(17797)_(2),2,[    0.90984     0.92416],Bad,Bad,Softness-0.13699999451637268
2024-12-10,2024-12-10_10_35_15_(17770)_sardine_input.jpeg,(17770)_(1),2,[    0.90219     0.91953],Bad,Bad,Softness-0.004000000189989805
2024-12-10,2024-12-10_10_35_15_(17770)_sardine_input.jpeg,(17770)_(2),2,[    0.90219     0.91953],Bad,Bad,Softness-0.0020000000949949026
2024-12-10,2024-12-10_10_37_58_(17781)_sardine_input.jpeg,(17781)_(1),2,[    0.91784     0.92359],Bad,Good,0.561
2024-12-10,2024-12-10_10_37_58_(17781)_sardine_input.jpeg,(17781)_(2),2,[    0.91784     0.92359],Bad,Bad,Softness-0.25600001215934753
2024-12-10,2024-12-10_10_40_12_(17792)_sardine_input.jpeg,(17792)_(1),2,[    0.91798     0.93334],Bad,Bad,Softness-0.09799999743700027
2024-12-10,2024-12-10_10_40_12_(17792)_sardine_input.jpeg,(17792)_(2),2,[    0.91798     0.93334],Bad,Bad,Softness-0.10199999809265137
